Electricity
ElectricityByUtility (1),Utility Name,Year,Ag & Water Pump,Commercial Building,Commercial Other,Industry,Mining & Construction,Residential,Streetlight,Total Usage,CA Electric Utility Retail Price ($/kWh),NorCal or Socal,CA Avg Temp (F)
Publicly owned utility,Alameda Municipal Power,2000,0.052791,211.501746,8.145274,9.368740,7.907449,137.241000,2.179374,376.396374,0.094,NorCal,58.8
Publicly owned utility,"Anaheim, City of",2000,31.412238,1190.262189,125.249826,639.890886,47.159732,578.091132,0.685697,2612.751700,0.094,SoCal,58.8
Rural electric cooperative,"Anza Electric Cooperative, Inc.",2000,1.649804,10.184196,0.000000,0.000000,0.000000,24.203000,0.000000,36.037000,0.094,SoCal,58.8
Publicly owned utility,Azusa Light and Water,2000,2.149030,88.925692,9.275564,54.624394,16.164447,66.526000,0.186872,237.851999,0.094,SoCal,58.8
Publicly owned utility,"Banning, City of",2000,5.498750,42.560322,2.749375,20.293155,0.320760,52.034000,1.594637,125.050999,0.094,SoCal,58.8
Investor owned utility,Bear Valley Electric Service,2000,0.000000,54.869398,9.238339,0.000000,0.000000,69.313000,0.536262,133.956999,0.094,SoCal,58.8
Publicly owned utility,Biggs Municipal Utilities,2000,0.004895,0.822332,0.000000,1.918774,0.000000,4.241000,0.000000,6.987001,0.094,NorCal,58.8
Publicly owned utility,Burbank Water and Power,2000,4.310242,638.938571,21.654221,98.739206,9.357761,247.000000,10.000000,1030.000001,0.094,SoCal,58.8
Joint utility agency,Calaveras Public Power Agency,2000,7.340000,14.070000,4.680000,0.000000,0.000000,0.000000,0.030000,26.120000,0.094,NorCal,58.8
Publicly owned utility,Colton Public Utilities,2000,2.260840,162.771500,13.888016,26.963672,1.185972,90.466000,0.000000,297.536000,0.094,SoCal,58.8
Publicly owned utility,Department of Water Resources,2000,5489.999999,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,5489.999999,0.094,Both,58.8
Publicly owned utility,"Escondido, City of",2000,0.000000,0.000000,0.000000,0.000000,0.000000,0.404000,0.000000,0.404000,0.094,SoCal,58.8
Publicly owned utility,Glendale Water & Power,2000,3.342316,601.356107,17.851853,68.838734,27.610989,358.000000,9.000000,1085.999999,0.094,SoCal,58.8
Publicly owned utility,"Gridley, City of",2000,0.000000,14.901542,0.409185,2.871448,0.018825,11.522000,0.000000,29.723000,0.094,NorCal,58.8
Publicly owned utility,"Healdsburg, City of, Electric Department",2000,0.959867,27.363589,3.096186,6.905046,3.849312,23.446000,0.000000,65.620000,0.094,NorCal,58.8
Publicly owned utility,Imperial Irrigation District,2000,265.657070,1008.029182,174.637666,126.611198,36.064884,1057.000000,8.000000,2676.000000,0.094,SoCal,58.8
Publicly owned utility,Lassen Municipal Utility District,2000,3.840244,51.147742,12.020356,0.000000,0.000000,73.789000,0.401658,141.199000,0.094,NorCal,58.8
Investor owned utility,Liberty Utilities,2000,13.016561,199.486940,41.123999,2.634606,2.421894,252.363000,0.000000,511.047000,0.094,SoCal,58.8
Publicly owned utility,Lodi Electric Utility,2000,6.278542,150.012415,8.699511,82.570104,10.493534,142.202000,5.928894,406.185000,0.094,NorCal,58.8
Publicly owned utility,"Lompoc, City of, Electric Division",2000,3.431620,56.243942,4.014051,7.468791,0.204638,57.692000,0.306957,129.361999,0.094,SoCal,58.8
Publicly owned utility,Los Angeles Department of Water and Power,2000,188.732352,10287.675892,1697.282660,2619.559278,261.927865,7528.589676,279.184818,22862.952541,0.094,SoCal,58.8
Publicly owned utility,Merced Irrigation District,2000,3.633378,110.033727,3.708780,122.609250,1.418185,0.204000,0.241401,241.848721,0.094,NorCal,58.8
Publicly owned utility,Metropolitan Water District of Southern California,2000,2366.890000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2366.890000,0.094,SoCal,58.8
Publicly owned utility,Modesto Irrigation District,2000,106.761535,854.258209,53.608920,441.816035,12.555300,774.000000,16.000000,2258.999999,0.094,NorCal,58.8
Publicly owned utility,"Needles, City of",2000,1.440810,25.692271,1.636849,0.065491,0.497735,31.841000,0.045844,61.220000,0.094,SoCal,58.8
Investor owned utility,Pacific Gas and Electric Company,2000,3751.155014,29297.794730,4008.223470,14749.815311,1344.137910,28560.847756,415.143848,82127.118039,0.094,NorCal,58.8
Investor owned utility,PacifiCorp,2000,90.849437,225.375460,18.712048,78.026875,3.325194,368.151000,0.416986,784.857000,0.094,NorCal,58.8
Publicly owned utility,"Palo Alto, City of, Utilities Department",2000,5.193467,625.096622,11.634146,309.369432,7.717122,163.481000,3.225211,1125.717000,0.094,NorCal,58.8
Publicly owned utility,Pasadena Water and Power,2000,12.752030,757.355459,34.716429,39.655463,18.123949,277.673000,15.197670,1155.474000,0.094,SoCal,58.8
Rural electric cooperative,Plumas-Sierra Rural Electric Cooperative,2000,0.556291,59.062159,3.194251,0.560137,0.204162,55.183000,0.000000,118.760000,0.094,NorCal,58.8
Publicly owned utility,Power Enterprise of the San Francisco Public Utilities Commission,2000,200.962121,347.398290,219.399703,4.315794,0.000000,0.000000,18.316092,790.392000,0.094,NorCal,58.8
